#    T   Lib Type    ST  Lib Subtype                         UGT  UG Type        UGST  UG Subtype
#test
#    01  Turning     02 ID_TURNING                           03 Turning Tool     01    Standard 	01.02.XXX
#    01  Turning     11 OD_GROOVING                          04 Grooving Tool    01    Standard 	01.11.XXX


#    10  Drilling    02 CENTERLINE_DRILL                     02   Drill          00    Standard 	10.02.XXX



#    11  Punching    01 PARTIAL_PROFILE                      03 Turning Tool     01    Standard 	11.01.XXX



#    09  Clamp       01  CLAMP_F25                           01   Mill           01    5 Parameter
#    02  Milling     03  Ball Mills Non-indexable            01   Mill           04    Ball
#    02  Milling     06  Spherical Mills Non-indexable       01   Mill           06    Spherical Mill
#    02  Milling     21  T-Slot Mills Non-indexable          08   T Slot Cut     00    None
#    02  Milling     90  UG -  5 Parameter Cutter            01   Mill           01    5 Parameter
#    02  Milling     92  UG - 10 Parameter Cutter            01   Mill           03    10 Parameter
#    02  Milling     31  Thread Mills                        02   Drill          10    Thread Mill






#    03  Drilling    01 Twist Drills                         02   Drill          00    Standard
#    03  Drilling    04 Step Drills                          02   Drill          12    Step Drill
#    03  Drilling    06 Insert Drills Non-indexable          02   Drill          00    Standard
#    03  Drilling    08 Core Drills indexable                02   Drill          13    Core Drill
#    03  Drilling    12 Spot Facing Tools without Pilot      02   Drill          03    Spot Face
#    03  Drilling    22 Center Drills                        02   Drill          01    Center Bell
#    03  Drilling    32  Fixed Diameter Boring               02   Drill          05    Bore
#    03  Drilling    42 Taper Machine Reamers                02   Drill          06    Drill Ream
#    03  Drilling    52 Counter Borring Tools  Indexable     02   Drill          07    Counter Bore
#    03  Drilling    62 Counter Sinking Tools  Indexable     02   Drill          02    Counter Sink
#    03  Drilling    90 UG Drills                            02   Drill          00    Standard
#    03  Drilling    33 Boring Bar                           02   Drill          15    Boring Bar
# 

#    01  Turning     13 Face Grooving                        04 Grooving Tool    01    Standard


#    01  Turning     51 Form Tool                            09 Form Tool        00
#
#    04  Solid       02 Probe                                11 Solid            01    Probe
#    05  Laser       01 Standard Laser                       12 Laser            00    Standard Laser
#    06  Wedm        01 Wire                                 06 Wedm             00    None
#    07  Robotic     02 End Effector - Ball Mill based       01 Mill             04    Ball
#    08  Multi-tool  02 drilling and turning                 NX-CAM Multi-tool object
# If you want to introduce new types/subtypes in this ASCII data file
# your new tool types to UG internal classification. All available UG types and subtypes
# Note. For multi-tools we don't have UGT, UGST. All multi-tool subtypes managed here are represented
#
# Milling Tools
#
#  End Mill (non indexable) 
#  LIBRF   - Tool Library Reference
#  ST      - Tool SubType
#  UGST    - UG Tool SubType
#  MATREF  - Tool Material Code
#  TLNUM   - Tool Number
#  CUTCOMREG - Tool CUTCOM Register
#  HLDDES  - Tool Holding System Description
#  FN      - Tool Flutes Number
#  ZOFF    - Tool Z Offset
#  FLEN    - Tool Flute Length (Cutting Depth)
#  TIPA    - Tool Tip Angle
#  CTH     - Coolant Through

FORMAT LIBRF T ST UGT UGST DESCR MATREF MATDES TLNUM ADJREG CUTCOMREG HLD HLDDES DIA FN HEI ZOFF DROT FLEN TAPA TIPA COR1 CTH HOFF ZMOUNT RIGID TSDIA TSLEN TSTLEN RAMPANGLE HELICALDIA MINRAMPLEN MAXCUTWIDTH HLDREF TPREF
DATA | 8888 | 02 | 1 | 01 | 1 |  | TMC0_00001 | High Speed Steel | 0 | 0 | 0 |   |   | 30.00000 | 2 | 75.00000 | 0.00000 | 3 | 50.00000 | 0.00000 | 0.00000 | 0.00000 | 0 | 0.00000 | 0.00000 | 1.0 |  |  |   | 15.00000 | 90.00000%T | 70.00000%T | 50.00000%T |  | 
DATA |MILL-APPLITEC-3371-1.3-2.0|2|1|1|1| Твердосплавная фреза DIAMETER | TMC0_00001 | High Speed Steel |0|0|0|||2|3|2.6| 0.00000 |3|2.6|0|0|0|0| 0.00000 | 0.00000 | 1.0 |3|36.4|2.35|15| 90.00000%T | 70.00000%T | 50.00000%T||
DATA |MILL-APPLITEC-3375-2.5-0.9|2|1|1|1| Твердосплавная фреза DIAMETER | TMC0_00001 | High Speed Steel |0|0|0|||0.9|3|2.3| 0.00000 |3|2.3|0|0|0|0| 0.00000 | 0.00000 | 1.0 |3|36.7|4.94|15| 90.00000%T | 70.00000%T | 50.00000%T||
DATA |MILL-APPLITEC-3472-2-2.5|2|1|1|1| Твердосплавная фреза DIAMETER | TMC0_00001 | High Speed Steel |0|0|0|||2.5|4|5| 0.00000 |3|5|0|0|0|0| 0.00000 | 0.00000 | 1.0 |3|34|1.18|15| 90.00000%T | 70.00000%T | 50.00000%T||
DATA | MILL-BEST-CARBIDE-411-4030-J-HFC-3.0 | 02 | 1 | 01 | 1 | Твердосплавная фреза DIAMETER | TMC0_00001 | High Speed Steel | 0 | 0 | 0 |   |   | 3.00000 | 4 | 8.50000 | 0.00000 | 3 | 8.00000 | 0.00000 | 0.00000 | 0.00000 | 0 | 0.00000 | 0.00000 | 1.0 | 6.00000 | 41.50000 | 7.50000 | 15.00000 | 90.00000%T | 70.00000%T | 50.00000%T |  | 
DATA |MILL-GARANT-201641-0.3X3|2|1|1|1| Твердосплавная фреза DIAMETER | TMC0_00001 | High Speed Steel |0|0|0|||0.3|2|3| 0.00000 |3|0.4|0|0|0|0| 0.00000 | 0.00000 | 1.0 |4|42|5.69|15| 90.00000%T | 70.00000%T | 50.00000%T||
DATA |MILL-GARANT-206156-1X6|2|1|1|1| Твердосплавная фреза DIAMETER | TMC0_00001 | High Speed Steel |0|0|0|||1|2|6| 0.00000 |3|1|0|0|0.1|0| 0.00000 | 0.00000 | 1.0 |4|44|4.62|15| 90.00000%T | 70.00000%T | 50.00000%T||
#DATA |MILL-GUHRING-5653-4.0|2|1|1|1| Твердосплавная фреза DIAMETER | TMC0_00001 | High Speed Steel |0|0|0|||4|4|18| 0.00000 |3|11|0|0|0|0| 0.00000 | 0.00000 | 1.0 |6|39|2.50|15| 90.00000%T | 70.00000%T | 50.00000%T||
DATA |MILL-HITACHI-EPOCH-HGOS2025-PN-2.5|2|1|1|1| Твердосплавная фреза DIAMETER | TMC0_00001 | High Speed Steel |0|0|0|||2.5|2|8| 0.00000 |3|8|0|0|0|0| 0.00000 | 0.00000 | 1.0 |4|32|4.50|15| 90.00000%T | 70.00000%T | 50.00000%T||
DATA |MILL-M.A.FORD-XR-4-FL-EM-EDP-17682|2|1|1|1| Твердосплавная фреза DIAMETER | TMC0_00001 | High Speed Steel |0|0|0|||2|4|4| 0.00000 |3|4|0|0|0|0| 0.00000 | 0.00000 | 1.0 |3|34|2.80|15| 90.00000%T | 70.00000%T | 50.00000%T||
DATA |MILL-M.A.FORD-XR-5-FL-EM-EDP-17965|2|1|1|1| Твердосплавная фреза DIAMETER | TMC0_00001 | High Speed Steel |0|0|0|||6|5|13| 0.00000 |3|13|0|0|0|0| 0.00000 | 0.00000 | 1.0 |6|44|0.00|15| 90.00000%T | 70.00000%T | 50.00000%T||
